date,transect,species,replicate,leaf_number,curling_mm,thickness_mm,mass_g,as.numeric(curling_mm),species_cleaned
2021-11-14,7,QUDO_756,2,4,11,0.15,NA,11,QUDO
2021-11-14,7,QUDO_756,2,5,10,0.18,NA,10,QUDO
2021-11-14,7,QUDO_NA,3,1,10,0.2,NA,10,QUDO
2021-11-14,7,QUDO_NA,3,2,7,0.26,NA,7,QUDO
2021-11-14,7,QUDO_NA,3,3,6,0.22,NA,6,QUDO
2021-11-14,7,QUDO_NA,3,4,7,0.25,NA,7,QUDO
2021-11-14,7,QUDO_NA,3,5,9,0.27,NA,9,QUDO
2021-11-14,7,QUDO_780,4,1,5,0.2,NA,5,QUDO
2021-11-14,7,QUDO_780,4,2,5,0.16,NA,5,QUDO
2021-11-14,7,QUDO_780,4,3,6,0.16,NA,6,QUDO
2021-11-14,7,QUDO_780,4,4,8.5,0.16,NA,8.5,QUDO
2021-11-14,7,QUDO_780,4,5,3,0.15,NA,3,QUDO
2021-11-14,7,QUDO_770,5,1,8,0.12,NA,8,QUDO
2021-11-14,7,QUDO_770,5,2,5.5,0.1,NA,5.5,QUDO
2021-11-14,7,QUDO_770,5,3,5,0.11,NA,5,QUDO
2021-11-14,7,QUDO_770,5,4,6,0.11,NA,6,QUDO
2021-11-14,7,QUDO_770,5,5,6,0.14,NA,6,QUDO
2021-11-14,7,QUAG_771,1,1,7,0.2,NA,7,QUAG
2021-11-14,7,QUAG_771,1,2,6,0.18,NA,6,QUAG
2021-11-14,7,QUAG_771,1,3,7,0.13,NA,7,QUAG
2021-11-14,7,QUAG_771,1,4,13,0.16,NA,13,QUAG
2021-11-14,7,QUAG_771,1,5,4,0.12,NA,4,QUAG
2021-11-14,7,QUAG_744,2,1,7,0.14,NA,7,QUAG
2021-11-14,7,QUAG_744,2,2,10,0.13,NA,10,QUAG
2021-11-14,7,QUAG_744,2,3,9,0.11,NA,9,QUAG
2021-11-14,7,QUAG_744,2,4,11,0.09,NA,11,QUAG
2021-11-14,7,QUAG_744,2,5,8,0.08,NA,8,QUAG
2021-11-14,7,QUAG_757,3,1,8,0.22,NA,8,QUAG
